course_name,course_type,course_format,course_duration,ucas_code,start_date
"Business Enterprise Development BSc -
Undergraduate degrees",Full-time (Hons), No placements,3 year course,N215,September 2022
"Business Computing and IT BSc -
Undergraduate degrees",Full-time, Placement year (UK/abroad),4 year with integrated placement year / 3 year course without integrated placement year option only available for non-UK/EU students,NG45,September 2022
"Business and Sociology BSc -
Undergraduate degrees",Full-time (Hons), Placement year (UK/abroad), with integrated placement year /,LN31,September 2022
"Business and Supply Chain Management BSc -
Undergraduate degrees",Full-time (Hons), Placement year (UK/abroad),4 years,N1J9,September 2022
"Business and Politics BSc -
Undergraduate degrees",Full-time (Hons), Placement year (UK/abroad), with integrated placement year /,LN2C,September 2022
"Business and Mathematics BSc -
Undergraduate degrees",Full-time (Hons), Placement year (UK/abroad),4 years,GN11,September 2022
"Artificial Intelligence MSc -
Postgraduate MA/MSc courses",Full-time, No placements,12 months full-time,n/a,September 2022
Artificial Intelligence with Business Strategy (including Professional Practice) MSc - ,Full-time, Integrated placements,22 months full-time,n/a,September 2022
"Artificial Intelligence MSc -
Postgraduate MA/MSc courses",Full-time, No placements,12 months full-time,n/a,September 2022
April Year Abroad - ,Full-time, No placements,"9 months, April to January (equivalent to one full academic year)",n/a,
"Artificial Intelligence (including Professional Practice) MSc -
Postgraduate MA/MSc courses",Full-time, Integrated placements,22 months full-time,n/a,September 2022
"Artificial Intelligence (including Professional Practice) MSc -
Postgraduate MA/MSc courses",Full-time, Integrated placements,22 months full-time,n/a,September 2022
"Applied Molecular Biology - Standalone module -
Professional courses/CPD","Part-time, Online / distance learning", No placements,1 year,,September 2021
"Applied Chemistry BSc -
Undergraduate degrees",Full-time (Hons), Optional placement year,3 or 4 years,FC10,September 2022
"Applied Artificial Intelligence MSc -
Postgraduate MA/MSc courses",Full-time, No placements,12 months full-time,n/a,September 2022
"Applied Artificial Intelligence (including Professional Practice) MSc -
Postgraduate MA/MSc courses",Full-time, Integrated placement year,22 months full-time,n/a,September 2022
"Anxiety and Sleep Disorders - Standalone module -
Professional courses/CPD",Online / distance learning, No placements,10 weeks,n/a,September 2022
"Advanced Health Assessment PgCert -
Professional courses/CPD",Part-time, No placements,9-12 months,n/a,October 2022
"Advanced Hearing Therapy Practice MSc -
Postgraduate MA/MSc courses","Part-time, Online / distance learning", No placements,3 years (part-time),n/a,October 2022
"Advanced Dental Implantology MSc -
Postgraduate MA/MSc courses","Part-time, Online / distance learning",,12 months,n/a,September 2022
"Advanced Clinical Practice in Ocular Health MSc -
Postgraduate MA/MSc courses","Part-time, Online / distance learning",,"3 years, part-time ",,October 2022
"Advanced Contact Lenses - Standalone module -
Professional courses/CPD",Online / distance learning, No placements,16 weeks,n/a,October 2022
"Adult Rehabilitation - Standalone module -
Professional courses/CPD",Online / distance learning, No placements,20 weeks,N/A,January 2022
"Accounting and Finance MSc -
Postgraduate MA/MSc courses",Full-time,,1 year,N/A,September 2022
"Accounting and Finance BSc -
Undergraduate degrees",Full-time (Hons), Placement year (UK/abroad),"4 year with integrated placement year/3 year course without integrated placement year, option only available for EU/international students.",N420,September 2022
"Business and Management MSc (Online) -
Online courses",,,,,
